Subject,Night,Motion Samples,HR Samples,Motion Fs,HR Fs,Motion Duration (s),HR Duration (s),Motion Duration (h),HR Duration (h),Epoch Labels,Expected Duration (s),Motion Missing (s),HR Missing (s)
Bidslab00,1,1401000,4791,49.85368792395387,0.17055849905649478,28102.213865041733,28084.205867767334,7.806170518067148,7.801168296602037,935,28050,-52.21386504173279,-34.205867767333984
Bidslab00,2,2898000,11225,25.62179660275615,0.09924055005865826,113106.783452034,113098.92975568771,31.418550958898333,31.41636937657992,943,28290,-84816.783452034,-84808.92975568771
Bidslab00,3,1486000,5282,49.86008521215216,0.17724496744435603,29803.37866806984,29794.92211341858,8.278716296686067,8.276367253727383,993,29790,-13.378668069839478,-4.922113418579102
Bidslab00,4,1327000,4863,49.5627046198147,0.18165837948669605,26774.144191265106,26764.523683071136,7.437262275351419,7.4345899119642045,888,26640,-134.1441912651062,-124.52368307113647
Bidslab00,5,1300000,4778,49.5555742398055,0.18222874867079172,26233.06815481186,26214.305014133453,7.286963376336628,7.281751392814848,862,25860,-373.06815481185913,-354.30501413345337
Bidslab00,6,1331000,4806,49.860642609600085,0.18005235160624966,26694.381186008453,26686.682829380035,7.415105885002348,7.4129674526055656,886,26580,-114.38118600845337,-106.6828293800354
Bidslab00,7,1005000,3471,49.85663109501348,0.1722365679055559,20157.779976844788,20146.708925962448,5.59938332690133,5.596308034989569,665,19950,-207.7799768447876,-196.70892596244812
