Original Operator,NNG Operator,Target,Staging Usage,Peak% (Staging),Op Cycles,Network% (cycles),NPU,SRAM AC,DRAM AC,OnFlash AC,OffFlash AC,MAC Count,Network% (MAC),Util% (MAC),Name
Conv2D,Conv2D,NPU,5760,50.0,9280,5.485217103474365,8944,540,0,0,9280,345600,12.266176019625881,58.189655172413794,residual_tcn_classifier_1/tcn_block_3_d4_conv2_1/convolution/BatchToSpaceND
Add,Add,NPU,4320,37.5,4320,2.5534631343759973,4320,360,0,0,1440,0,0.0,0.0,residual_tcn_classifier_1/tcn_block_3_d4_conv2_1/BiasAdd
Add,Add,NPU,4320,37.5,4320,2.5534631343759973,4320,540,0,0,0,0,0.0,0.0,residual_tcn_classifier_1/tcn_block_3_d4_out_relu_1/Relu;residual_tcn_classifier_1/tcn_block_3_d4_add_1/Add
Add,Relu,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,residual_tcn_classifier_1/tcn_block_3_d4_out_relu_1/Relu;residual_tcn_classifier_1/tcn_block_3_d4_add_1/Add
Conv2D,Conv2D,NPU,5760,50.0,16864,9.96796349493445,16864,540,0,0,10384,622080,22.079116835326587,57.63757115749526,residual_tcn_classifier_1/tcn_block_4_d8_conv1_1/convolution/BatchToSpaceND
Add,Add,NPU,5760,50.0,4320,2.5534631343759973,4320,360,0,0,1440,0,0.0,0.0,residual_tcn_classifier_1/tcn_block_4_d8_relu1_1/Relu;residual_tcn_classifier_1/tcn_block_4_d8_conv1_1/BiasAdd
Add,Relu,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,residual_tcn_classifier_1/tcn_block_4_d8_relu1_1/Relu;residual_tcn_classifier_1/tcn_block_4_d8_conv1_1/BiasAdd
Conv2D,Conv2D,NPU,7200,62.5,16864,9.96796349493445,16864,540,0,0,10384,622080,22.079116835326587,57.63757115749526,residual_tcn_classifier_1/tcn_block_4_d8_conv2_1/convolution/BatchToSpaceND
Add,Add,NPU,5760,50.0,4320,2.5534631343759973,4320,360,0,0,1440,0,0.0,0.0,residual_tcn_classifier_1/tcn_block_4_d8_conv2_1/BiasAdd
Add,Add,NPU,11520,100.0,4320,2.5534631343759973,4320,540,0,0,0,0,0.0,0.0,residual_tcn_classifier_1/global_skip_concat_1/concat
Add,Relu,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,residual_tcn_classifier_1/global_skip_concat_1/concat
Concat,MemoryCopy,NPU,10080,87.5,3864,2.2839309146363087,3864,456,0,0,0,1440,0.05110906674844117,0.5822981366459627,residual_tcn_classifier_1/global_skip_concat_1/concat
Concat,MemoryCopy,NPU,8640,75.0,3864,2.2839309146363087,3864,456,0,0,0,1440,0.05110906674844117,0.5822981366459627,residual_tcn_classifier_1/global_skip_concat_1/concat
Concat,MemoryCopy,NPU,7200,62.5,3864,2.2839309146363087,3864,456,0,0,0,1440,0.05110906674844117,0.5822981366459627,residual_tcn_classifier_1/global_skip_concat_1/concat
ReduceMax,ReduceMax,NPU,6144,53.333333333333336,3640,2.1515291224834794,3640,816,0,0,0,5760,0.2044362669937647,2.4725274725274726,residual_tcn_classifier_1/pool_concat_1/concat
Mean,DepthwiseConv2D,NPU,9616,83.47222222222223,7704,4.553675922970529,7704,890,0,0,1920,5760,0.2044362669937647,1.1682242990654206,residual_tcn_classifier_1/gap_1/Mean_intermediate
Mean,Mul,NPU,1344,11.666666666666666,288,0.1702308756250665,288,72,0,0,16,0,0.0,0.0,residual_tcn_classifier_1/gap_1/Mean
Concat,MemoryCopy,NPU,576,5.0,640,0.37829083472237,640,96,0,0,0,192,0.00681454223312549,0.46875,residual_tcn_classifier_1/pool_concat_1/concat
FullyConnected,FullyConnected,NPU,416,3.611111111111111,9168,5.41901620739795,1533,104,0,0,9168,9216,0.3270980271900235,1.5706806282722514,residual_tcn_classifier_1/dense_hidden_1/MatMul;residual_tcn_classifier_1/dense_hidden_relu_1/Relu;residual_tcn_classifier_1/dense_hidden_1/BiasAdd
FullyConnected,Relu,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,residual_tcn_classifier_1/dense_hidden_1/MatMul;residual_tcn_classifier_1/dense_hidden_relu_1/Relu;residual_tcn_classifier_1/dense_hidden_1/BiasAdd
FullyConnected,FullyConnected,NPU,48,0.4166666666666667,208,0.12294452128477025,117,10,0,0,208,96,0.003407271116562745,0.7211538461538461,StatefulPartitionedCall_1:0
